,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,0,-1,-1,0.00099945068359375,[3],-0.05,-0.05
1,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,0,-1,-2,0.0010001659393310547,[2],-0.1,-0.05
2,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,1,-1,-3,0.0010876655578613281,"[1, 2]",-0.14750000000000002,-0.07375000000000001
3,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,0,-1,-4,0.001001596450805664,[0],-0.1975,-0.06583333333333334
4,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,19,1,-3,0.017071008682250977,"[1, 1, 3, 3, 2, 1, 1, 0, 3, 1, 1, 2, 2, 3, 3, 1, 2, 0, 0, 1]",-0.14750000000000002,-0.036875000000000005
5,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,0,-1,-4,0.0009996891021728516,[1],-0.1975,-0.0395
6,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,1,-1,-5,0.0020751953125,"[1, 2]",-0.24250000000000002,-0.0485
7,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,7,-1,-6,0.0069980621337890625,"[1, 1, 3, 0, 1, 0, 0, 2]",-0.28443411662840845,-0.05688682332568169
8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,0,-1,-7,0.0010001659393310547,[0],-0.3319550534905427,-0.06639101069810854
9,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,6,-1,-8,0.007070064544677734,"[0, 1, 2, 2, 0, 1, 2]",-0.36108561379679777,-0.06018093563279963
