,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,8,-1,-1,0.009063720703125,"[3, 2, 0, 1, 2, 1, 1, 0, 2]",-0.05,-0.05
1,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,18,0,-1,0.017071247100830078,"[3, 3, 3, 2, 0, 3, 3, 0, 0, 3, 0, 2, 2, 1, 2, 1, 2, 3, 2]",-0.05,-0.016666666666666666
2,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,0,-1,-2,0.0009996891021728516,[0],-0.1,-0.025
3,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,4,-1,-3,0.005060911178588867,"[3, 1, 2, 3, 1]",-0.15000000000000002,-0.030000000000000006
4,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,99,1,-2,0.08878517150878906,"[2, 1, 2, 3, 3, 1, 0, 1, 1, 0, 0, 2, 2, 0, 2, 3, 2, 2, 3, 0, 3, 3, 0, 3, 3, 2, 3, 2, 3, 2, 2, 1, 1, 2, 2, 3, 2, 3, 2, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 0, 3, 2, 2, 2, 3, 3, 2, 2, 3, 2, 2, 3, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 2, 3, 2]",-0.08597822069666833,-0.006613709284359102
5,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,11,-1,-3,0.012082815170288086,"[2, 1, 3, 1, 3, 3, 3, 1, 1, 3, 0, 0]",-0.13360322069666833,-0.009543087192619166
6,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,3,-1,-4,0.003999948501586914,"[3, 3, 3, 3]",-0.18360322069666835,-0.012240214713111224
7,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,2,-1,-5,0.003108978271484375,"[1, 3, 1]",-0.23360322069666833,-0.014600201293541771
8,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,1,-1,-6,0.001999378204345703,"[3, 3]",-0.2836032206966683,-0.016682542393921668
9,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,3,-1,-7,0.003000974655151367,"[2, 2, 3, 2]",-0.3307656285853402,-0.0194568016814906
10,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,8,-1,-8,0.00810861587524414,"[1, 3, 3, 1, 1, 2, 1, 1, 2]",-0.37562349015070134,-0.019769657376352702
11,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,75,0,-8,0.0668637752532959,"[3, 3, 3, 0, 3, 3, 0, 3, 1, 2, 2, 3, 2, 3, 2, 3, 2, 0, 2, 3, 2, 2, 2, 3, 3, 2, 3, 2, 1, 0, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 3, 2, 2, 3, 2, 3, 2, 0, 1, 3, 1, 2, 0]",-0.3678682776691916,-0.014714731106767664
12,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,12,0,-1,-9,0.0009996891021728516,[0],-0.4131072270612891,-0.016524289082451564
13,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,13,1,-1,-10,0.0009999275207519531,"[1, 2]",-0.45606952182712557,-0.01824278087308502
14,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,14,0,-1,-11,0.001001119613647461,[3],-0.5038410291060688,-0.02015364116424275
15,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,15,10,-1,-12,0.01011037826538086,"[3, 3, 0, 0, 0, 2, 0, 2, 1, 0, 0]",-0.5159082564835963,-0.02063633025934385
16,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,16,99,1,-11,0.08803868293762207,"[1, 2, 2, 2, 2, 2, 0, 0, 3, 2, 3, 2, 2, 2, 3, 2, 0, 2, 3, 3, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 0, 0, 3, 2, 3, 2, 2, 3, 2, 3, 2, 3, 1, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 2, 2, 2, 2, 0, 2, 3, 2, 3, 2, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 3, 1, 2, 1, 0, 0, 3, 1, 1]",-0.4528729450060215,-0.016174033750215054
17,"Qlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,17,9,-1,-12,0.00913381576538086,"[3, 2, 0, 0, 1, 1, 1, 1, 2, 2]",-0.474423668074605,-0.016943702431235892
