,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,0,-1,-1,0.0009999275207519531,[1],-0.05,-0.05
1,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,0,-1,-2,0.0010023117065429688,[2],-0.1,-0.05
2,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,5,-1,-3,0.003998756408691406,"[2, 0, 3, 3, 1, 1]",-0.14750000000000002,-0.04916666666666667
3,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,0,-1,-4,0.0,[1],-0.195,-0.065
4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,2,-1,-5,0.0021109580993652344,"[3, 0, 3]",-0.245,-0.06125
5,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,26,1,-4,0.01710677146911621,"[0, 2, 0, 2, 0, 3, 2, 3, 1, 0, 3, 0, 3, 0, 2, 1, 0, 2, 1, 1, 2, 3, 3, 1, 2, 3, 1]",-0.19737499999999997,-0.032895833333333326
6,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,0,-1,-5,0.0,[0],-0.24737499999999996,-0.035339285714285705
7,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,0,-1,-6,0.0010979175567626953,[0],-0.29487499999999994,-0.04212499999999999
8,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,4,-1,-7,0.0030014514923095703,"[2, 0, 3, 3, 2]",-0.3398812499999999,-0.04248515624999999
9,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,14,-1,-8,0.009097576141357422,"[1, 3, 0, 0, 0, 1, 2, 3, 0, 3, 3, 2, 3, 3, 2]",-0.3845258757812499,-0.03845258757812499
10,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,31,0,-8,0.020189285278320312,"[3, 1, 0, 0, 1, 1, 1, 0, 0, 2, 3, 0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 3, 2, 0, 2, 2, 1, 1, 3, 0, 0]",-0.37479517421874986,-0.02883039801682691
11,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,15,-1,-9,0.010098934173583984,"[3, 0, 3, 0, 3, 0, 2, 0, 0, 1, 3, 1, 3, 3, 0, 2]",-0.4198192077734374,-0.029987086269531244
12,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,12,0,-1,-10,0.0009996891021728516,[1],-0.46531261632812493,-0.03323661545200892
13,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,13,27,-1,-11,0.017162561416625977,"[0, 0, 3, 2, 0, 3, 0, 1, 1, 0, 1, 2, 0, 1, 1, 0, 2, 2, 0, 1, 3, 2, 0, 0, 1, 3, 2, 3]",-0.49261289049785134,-0.03078830565611571
14,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,14,12,-1,-12,0.00800013542175293,"[0, 1, 3, 1, 0, 2, 1, 2, 1, 2, 3, 0, 0]",-0.5250882789651822,-0.032818017435323886
15,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,15,4,1,-11,0.004052877426147461,"[0, 1, 2, 1, 1]",-0.4689586808030599,-0.029309917550191245
16,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,16,22,2,-9,0.015084028244018555,"[2, 3, 2, 1, 2, 0, 3, 1, 3, 0, 3, 3, 0, 1, 2, 2, 1, 3, 2, 2, 1, 1, 1]",-0.3613493677613534,-0.020074964875630746
17,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,17,1,-1,-10,0.0020513534545898438,"[0, 0]",-0.4024067428043713,-0.022355930155798405
18,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,18,3,-1,-11,0.002000093460083008,"[1, 3, 1, 1]",-0.4391734410333094,-0.024398524501850524
19,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,19,57,2,-9,0.037200212478637695,"[3, 2, 1, 3, 1, 3, 3, 2, 2, 2, 2, 1, 0, 1, 1, 2, 3, 2, 1, 2, 1, 1, 0, 0, 3, 0, 2, 2, 3, 2, 2, 2, 0, 3, 2, 3, 0, 0, 0, 3, 2, 2, 3, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2, 1, 1, 1]",-0.3010925414768983,-0.013090980064212969
20,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,20,0,-1,-10,0.001085519790649414,[2],-0.3454572512811102,-0.015019880490483053
21,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,21,12,-1,-11,0.007999897003173828,"[0, 2, 3, 3, 3, 3, 0, 3, 3, 3, 3, 0, 1]",-0.382182352399559,-0.01661662401737213
22,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,22,1,-1,-12,0.0010006427764892578,"[3, 0]",-0.42544106879781196,-0.01849743777381791
23,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,23,2,-1,-13,0.0020554065704345703,"[2, 0, 2]",-0.4548989967857857,-0.019778217251555902
24,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,24,0,-1,-14,0.00099945068359375,[2],-0.4952238779155332,-0.021531472952849268
25,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,25,14,-1,-15,0.009079456329345703,"[3, 0, 2, 3, 3, 3, 3, 3, 3, 3, 1, 0, 1, 3, 1]",-0.5212593689280722,-0.022663450822959664
26,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,26,0,-1,-16,0.0009999275207519531,[1],-0.559719214540547,-0.02433561802350204
27,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,27,4,1,-15,0.003000020980834961,"[2, 2, 1, 0, 1]",-0.49749879738481373,-0.0216303824949919
