,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,1,-1,-1,0.0019991397857666016,"[1, 0]",-0.05,-0.05
1,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,1,-1,-2,0.0019991397857666016,"[1, 2]",-0.1,-0.05
2,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,54,0,-2,0.0334017276763916,"[3, 2, 1, 0, 2, 2, 2, 3, 2, 3, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2, 3, 0, 3, 2, 3, 0, 3, 2, 3, 2, 2, 3, 2, 3, 3, 1, 0, 2, 0, 3, 1, 1, 3]",-0.10062409135538432,-0.01257801141942304
3,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,1,-1,-3,0.0010006427764892578,"[1, 1]",-0.15062409135538432,-0.01673601015059826
4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,1,-1,-4,0.0009999275207519531,"[2, 3]",-0.1979990913553843,-0.021999899039487143
5,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,2,-1,-5,0.0019996166229248047,"[1, 3, 2]",-0.2428681843241343,-0.0269853538137927
6,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,15,-1,-6,0.010102272033691406,"[0, 3, 3, 3, 0, 3, 3, 2, 0, 1, 0, 1, 3, 2, 0, 1]",-0.2903681843241343,-0.02903681843241343
7,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,7,-1,-7,0.005105733871459961,"[3, 1, 1, 2, 1, 0, 2, 2]",-0.33251947354288425,-0.027709956128573687
8,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,3,-1,-8,0.002000093460083008,"[3, 2, 0, 1]",-0.37496753400577487,-0.031247294500481238
9,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,16,-1,-9,0.011091232299804688,"[3, 3, 2, 3, 3, 1, 0, 3, 1, 3, 1, 3, 2, 0, 0, 2, 0]",-0.40871492042419305,-0.02919392288744236
10,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,1,-1,-10,0.0010006427764892578,"[1, 1]",-0.45219794947449754,-0.03229985353389268
11,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,6,-1,-11,0.003999948501586914,"[2, 3, 2, 3, 3, 3, 3]",-0.4933133844504709,-0.032887558963364726
12,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,12,3,-1,-12,0.0020749568939208984,"[0, 3, 3, 1]",-0.5330584465534836,-0.035537229770232236
13,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,13,0,-1,-13,0.0009989738464355469,[0],-0.5808134637019211,-0.038720897580128075
14,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,14,3,-1,-14,0.0030007362365722656,"[2, 2, 0, 1]",-0.6206926293588778,-0.041379508623925185
15,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,15,1,-1,-15,0.0009996891021728516,"[3, 0]",-0.6658703078428015,-0.04439135385618677
16,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,16,6,-1,-16,0.004069805145263672,"[1, 2, 3, 2, 1, 1, 2]",-0.7041787008721436,-0.04401116880450898
17,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,17,5,1,-15,0.004001617431640625,"[2, 2, 1, 2, 3, 1]",-0.6470440846186294,-0.03594689358992385
18,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,18,99,1,-14,0.059442758560180664,"[2, 1, 2, 3, 1, 2, 0, 0, 3, 2, 1, 0, 3, 2, 2, 0, 2, 0, 2, 3, 0, 3, 2, 2, 3, 2, 3, 3, 2, 3, 2, 3, 2, 2, 3, 2, 2, 3, 2, 3, 1, 2, 3, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 2, 2, 1, 2, 2, 2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 2, 0, 2, 3, 2, 3, 2, 3, 3, 2, 2, 2, 3, 2, 3, 0, 2, 2, 3, 2, 3]",-0.5807537377002236,-0.023230149508008946
19,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,19,6,-1,-15,0.004999637603759766,"[1, 2, 1, 2, 1, 0, 3]",-0.6194697404377584,-0.024778789617510334
20,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,20,0,-1,-16,0.0010008811950683594,[2],-0.6640450552630462,-0.02656180221052185
21,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,21,0,-1,-17,0.0,[3],-0.7102627785115624,-0.028410511140462495
22,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,22,0,-1,-18,0.001066446304321289,[3],-0.7541696155976527,-0.03016678462390611
23,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,23,0,-1,-19,0.0,[2],-0.7965161646816763,-0.031860646587267054
24,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,24,16,-1,-20,0.011064529418945312,"[0, 2, 0, 2, 2, 3, 2, 1, 3, 3, 3, 0, 1, 1, 3, 0, 2]",-0.8249282145200588,-0.031728008250771496
25,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,25,0,-1,-21,0.0,[3],-0.8671529746674325,-0.03335203748720894
26,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,26,5,-1,-22,0.004000663757324219,"[2, 0, 0, 3, 2, 2]",-0.9044321103559629,-0.03478585039830627
27,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,27,0,-1,-23,0.0010006427764892578,[1],-0.9448911040020911,-0.036341965538541965
