,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,4,-1,-1,0.0040438175201416016,"[3, 1, 0, 1, 0]",-0.05,-0.05
1,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,0,-1,-2,0.0,[2],-0.1,-0.05
2,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,0,-1,-3,0.0009999275207519531,[3],-0.15000000000000002,-0.05000000000000001
3,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,0,-1,-4,0.0009999275207519531,[1],-0.2,-0.05
4,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,0,-1,-5,0.0,[2],-0.2475,-0.061875
5,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,8,-1,-6,0.006002664566040039,"[0, 1, 3, 2, 0, 2, 1, 1, 0]",-0.29199440691601564,-0.05839888138320313
6,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,67,0,-6,0.040247201919555664,"[2, 3, 0, 0, 2, 2, 3, 1, 3, 3, 0, 2, 2, 3, 2, 1, 3, 2, 2, 0, 1, 2, 3, 1, 0, 0, 3, 2, 2, 1, 2, 1, 0, 0, 1, 3, 3, 0, 3, 3, 3, 0, 3, 3, 3, 3, 3, 0, 3, 3, 1, 3, 3, 3, 3, 3, 3, 0, 0, 3, 3, 1, 3, 3, 3, 1, 0, 1]",-0.2873916706846647,-0.023949305890388725
7,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,5,-1,-7,0.004105567932128906,"[1, 2, 2, 3, 1, 1]",-0.3235816157418082,-0.026965134645150685
8,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,0,-1,-8,0.0,[2],-0.36927839690008313,-0.030773199741673595
9,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,9,-1,-9,0.006999969482421875,"[2, 0, 3, 3, 1, 3, 2, 3, 0, 3]",-0.40994352353764385,-0.031534117195203375
10,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,5,-1,-10,0.0031065940856933594,"[0, 3, 0, 0, 3, 3]",-0.45451292754805905,-0.03246520911057565
11,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,0,-1,-11,0.0010008811950683594,[3],-0.49967941735498933,-0.03569138695392781
12,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,12,0,-1,-12,0.0,[2],-0.5434207623503324,-0.03881576873930946
13,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,13,0,-1,-13,0.0009992122650146484,[2],-0.5849750400959084,-0.04178393143542203
14,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,14,0,-1,-14,0.0,[1],-0.6280815436825351,-0.04486296740589536
15,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,15,2,-1,-15,0.0019998550415039062,"[1, 1, 3]",-0.6614739828238958,-0.047248141630278274
16,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,16,5,-1,-16,0.00409388542175293,"[3, 0, 2, 1, 3, 1]",-0.6822292908402551,-0.04873066363144679
17,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,17,0,-1,-17,0.0,[2],-0.7220240995251059,-0.05157314996607899
18,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,18,1,-1,-18,0.0020003318786621094,"[0, 2]",-0.7596102972698917,-0.054257878376420834
19,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,19,25,-1,-19,0.015104532241821289,"[1, 0, 0, 2, 0, 0, 2, 1, 3, 1, 1, 3, 3, 2, 0, 0, 3, 0, 3, 3, 0, 3, 3, 3, 1, 2]",-0.7787701137436354,-0.05191800758290902
20,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,20,2,-1,-20,0.002110004425048828,"[0, 0, 2]",-0.8243508556532726,-0.05152192847832954
21,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,21,2,-1,-21,0.0019996166229248047,"[2, 2, 1]",-0.8422133842697316,-0.052638336516858224
22,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,22,26,1,-20,0.016108274459838867,"[2, 1, 0, 0, 0, 1, 0, 3, 3, 3, 3, 1, 3, 3, 3, 3, 0, 3, 0, 0, 0, 0, 0, 2, 3, 1, 1]",-0.7603187337918516,-0.04472463139952068
23,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,23,1,-1,-21,0.0020575523376464844,"[1, 0]",-0.7990037208711969,-0.04700021887477629
24,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,24,5,-1,-22,0.0029997825622558594,"[0, 0, 3, 0, 1, 0]",-0.8424104014941918,-0.04680057786078843
25,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,25,0,-1,-23,0.0009996891021728516,[1],-0.8816611392195699,-0.048981174401087214
26,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,26,45,-1,-24,0.028213024139404297,"[2, 2, 1, 0, 3, 1, 3, 0, 1, 3, 3, 3, 3, 3, 2, 1, 3, 0, 1, 3, 3, 0, 1, 2, 3, 1, 1, 1, 3, 2, 1, 3, 1, 0, 3, 1, 3, 0, 3, 3, 3, 3, 0, 0, 2, 2]",-0.8883598045315162,-0.04441799022657581
27,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,27,2,-1,-25,0.0019998550415039062,"[3, 0, 1]",-0.9228554472811699,-0.04614277236405849
28,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,28,3,1,-24,0.0019996166229248047,"[0, 0, 1, 1]",-0.8666687683019982,-0.0412699413477142
29,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,29,7,-1,-25,0.005048513412475586,"[0, 1, 3, 0, 2, 2, 0, 3]",-0.877810461518799,-0.04180049816756186
30,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,30,1,-1,-26,0.0010001659393310547,"[1, 0]",-0.9139938656526169,-0.043523517412029374
31,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,31,0,-1,-27,0.0009996891021728516,[2],-0.9505375695874976,-0.045263693789880835
32,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,32,7,-1,-28,0.0050008296966552734,"[2, 1, 2, 1, 0, 2, 1, 3]",-0.9563041974006254,-0.045538295114315494
33,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,33,40,0,-28,0.02614879608154297,"[0, 0, 3, 3, 3, 3, 1, 2, 3, 3, 0, 3, 3, 1, 3, 3, 3, 1, 3, 3, 1, 3, 1, 3, 3, 0, 2, 2, 3, 2, 1, 1, 2, 3, 2, 3, 2, 1, 3, 0, 2]",-0.9369960968435105,-0.03904150403514627
34,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,34,2,-1,-29,0.002000093460083008,"[2, 3, 1]",-0.9603240110755598,-0.04001350046148166
35,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,35,2,-1,-30,0.0009999275207519531,"[3, 1, 2]",-0.9824855295960067,-0.04093689706650028
36,4,"Qlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,36,2,-1,-31,0.0019998550415039062,"[3, 0, 2]",-1.010235396765792,-0.042093141531908
