,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DQN_LLM__training_results,10,0,,,-1.0,0.0,1.6103980541229248
1,DQN_LLM__training_results,10,1,-1.0,0.0,-1.2,0.41633319989322654,0.8418682813644409
2,DQN_LLM__training_results,10,2,-0.6,0.20816659994661327,-1.6,0.42687494916218993,0.0066022872924804
3,DQN_LLM__training_results,10,3,-0.5333333333333333,0.14229164972072997,-2.1,0.604611904907235,0.00250029563903805
4,DQN_LLM__training_results,10,4,-0.525,0.15115297622680876,-2.7,0.7,0.00359785556793205
5,DQN_LLM__training_results,10,5,-0.54,0.13999999999999999,-3.6,0.669991708074726,0.0040000677108764
6,DQN_LLM__training_results,10,6,-0.6,0.111665284679121,-4.0,0.7745966692414833,0.01655042171478265
7,DQN_LLM__training_results,10,7,-0.5714285714285714,0.11065666703449763,-4.7,0.8306623862918074,0.01461279392242425
8,DQN_LLM__training_results,10,8,-0.5875,0.10383279828647593,-5.6,0.8192137151629671,0.0225892066955566
9,DQN_LLM__training_results,10,9,-0.6222222222222222,0.09102374612921856,-5.8,0.8406346808612327,0.00604677200317375
10,DQN_LLM__training_results,10,10,-0.5800000000000001,0.08406346808612326,-6.6,0.9092121131323903,0.00255942344665525
11,DQN_LLM__training_results,10,11,-0.6,0.08265564664839911,-7.4,1.013245610238044,0.009042382240295351
12,DQN_LLM__training_results,10,12,-0.6166666666666666,0.08443713418650368,-7.5,1.1855612829185824,0.0151176452636718
13,DQN_LLM__training_results,10,13,-0.5769230769230769,0.09119702176296789,-7.8,1.3232955494186138,0.010117053985595651
14,DQN_LLM__training_results,10,14,-0.5571428571428572,0.09452111067275813,-8.5,1.3017082793177754,0.00705325603485105
15,DQN_LLM__training_results,10,15,-0.5666666666666667,0.08678055195451839,-9.0,1.3333333333333333,0.0095380544662475
16,DQN_LLM__training_results,10,16,-0.5625,0.08333333333333333,-9.0,1.4220486005134358,0.018639326095581
17,DQN_LLM__training_results,10,17,-0.5294117647058824,0.08364991767726095,-8.9,1.3370780746754385,0.00899970531463615
18,DQN_LLM__training_results,10,18,-0.49444444444444446,0.07428211525974658,-9.3,1.316983084342561,0.013948440551757799
19,DQN_LLM__training_results,10,19,-0.4894736842105263,0.06931489917592425,-9.8,1.339983416149452,0.010090231895446701
20,DQN_LLM__training_results,10,20,-0.48999999999999994,0.0669991708074726,-9.6,1.1075498483890767,0.0287526845932006
21,DQN_LLM__training_results,10,21,-0.45714285714285713,0.05274046897090841,-10.3,1.1930353445448854,0.0060001611709594
22,DQN_LLM__training_results,10,22,-0.46818181818181814,0.05422887929749478,-9.6,1.3349989596333853,0.02572941780090325
23,DQN_LLM__training_results,10,23,-0.417391304347826,0.058043433027538505,-9.8,1.412641340027806,0.0135707855224609
24,DQN_LLM__training_results,10,24,-0.4083333333333333,0.05886005583449192,-9.8,1.3316656236958784,0.02219545841217035
25,DQN_LLM__training_results,10,25,-0.392,0.053266624947835135,-10.6,1.4236104336041748,0.01061451435089105
26,DQN_LLM__training_results,10,26,-0.4076923076923077,0.05475424744631441,-10.3,1.535143858622594,0.02221024036407465
27,DQN_LLM__training_results,10,27,-0.3814814814814815,0.05685717994898495,-10.3,1.4761059883656353,0.01659500598907465
28,DQN_LLM__training_results,10,28,-0.3678571428571429,0.05271807101305839,-9.4,1.6275407487644937,0.06880939006805414
29,DQN_LLM__training_results,10,29,-0.32413793103448274,0.05612209478498254,-9.1,1.9116601278586225,0.01712453365325925
30,DQN_LLM__training_results,10,30,-0.30333333333333334,0.06372200426195408,-9.3,1.9835434062415787,0.00306928157806395
31,DQN_LLM__training_results,10,31,-0.3,0.06398527116908319,-9.2,2.179704363236242,0.01561403274536125
32,DQN_LLM__training_results,10,32,-0.2875,0.06811576135113256,-9.1,2.272785857830771,0.0156161785125732
33,DQN_LLM__training_results,10,33,-0.27575757575757576,0.06887229872214458,-9.3,2.2163533613172386,0.026622891426086398
34,DQN_LLM__training_results,10,34,-0.2735294117647059,0.06518686356815406,-10.3,2.2163533613172386,0.0045002698898315
35,DQN_LLM__training_results,10,35,-0.2942857142857143,0.06332438175192111,-11.0,2.328566559543064,0.00352430343627925
36,DQN_LLM__training_results,10,36,-0.3055555555555556,0.06468240443175177,-11.5,2.140872096444188,0.00803363323211665
37,DQN_LLM__training_results,10,37,-0.31081081081081086,0.057861408012005094,-11.6,2.4184476196289406,0.0225906372070312
38,DQN_LLM__training_results,10,38,-0.30526315789473685,0.0636433584112879,-11.5,2.54841998980632,0.0221198797225952
39,DQN_LLM__training_results,10,39,-0.2948717948717948,0.06534410230272615,-11.6,2.6758176320519302,0.018027782440185502
40,DQN_LLM__training_results,10,40,-0.29000000000000004,0.06689544080129826,-11.0,2.871314062314404,0.05845677852630615
41,DQN_LLM__training_results,10,41,-0.2682926829268293,0.07003205030035131,-11.5,2.9636688973860306,0.0070474147796630495
42,DQN_LLM__training_results,10,42,-0.2738095238095238,0.07056354517585789,-11.7,2.8753743717606195,0.0095783472061157
43,DQN_LLM__training_results,10,43,-0.27209302325581397,0.06686917143629348,-12.2,3.0760725320158206,0.00654196739196775
44,DQN_LLM__training_results,10,44,-0.2772727272727273,0.06991073936399592,-12.1,3.1708743974563927,0.01757812499999995
45,DQN_LLM__training_results,10,45,-0.26888888888888884,0.07046387549903096,-12.2,3.2482473906879554,0.0080504417419433
46,DQN_LLM__training_results,10,46,-0.2652173913043478,0.07061407371060772,-13.1,3.1987844913689045,0.0035389661788939996
47,DQN_LLM__training_results,10,47,-0.27872340425531916,0.06805924449721074,-13.1,3.3080709383768254,0.0211548805236816
48,DQN_LLM__training_results,10,48,-0.2729166666666667,0.0689181445495172,-13.0,3.144660377352201,0.00855386257171625
49,DQN_LLM__training_results,10,49,-0.26530612244897955,0.06417674239494289,-13.2,3.1999999999999997,0.01059532165527335
50,DQN_LLM__training_results,10,50,-0.26399999999999996,0.064,-12.5,3.5253053453251075,0.023647785186767502
51,DQN_LLM__training_results,10,51,-0.24509803921568624,0.06912363422206094,-12.5,3.5221521198772145,0.01412308216094965
52,DQN_LLM__training_results,10,52,-0.24038461538461536,0.06773369461302337,-12.6,3.7953187539974085,0.0085237026214599
53,DQN_LLM__training_results,10,53,-0.23773584905660378,0.07160978781127186,-12.4,3.6733272837215756,0.0079383850097656
54,DQN_LLM__training_results,10,54,-0.22962962962962963,0.06802457932817732,-12.3,3.633333333333333,0.008582711219787549
55,DQN_LLM__training_results,10,55,-0.22363636363636363,0.06606060606060606,-12.0,3.6817870057290865,0.0398603677749633
56,DQN_LLM__training_results,10,56,-0.21428571428571427,0.06574619653087654,-12.3,3.8153199953171244,0.01661789417266845
57,DQN_LLM__training_results,10,57,-0.21578947368421053,0.06693543851433552,-12.1,4.1000000000000005,0.0221469402313232
58,DQN_LLM__training_results,10,58,-0.20862068965517241,0.0706896551724138,-12.0,4.353797831268185,0.0065698623657226
59,DQN_LLM__training_results,10,59,-0.20338983050847456,0.0737931835808167,-11.9,4.420784244150955,0.02174556255340575
60,DQN_LLM__training_results,10,60,-0.1983333333333333,0.07367973740251592,-12.1,4.2984493328020825,0.010094404220581
61,DQN_LLM__training_results,10,61,-0.19836065573770492,0.07046638250495216,-12.2,4.260412082312122,0.0161085128784179
