,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DQN_classroom_A_language__training_results,10,0,,,-0.7,0.3,0.0035418272018432
1,DQN_classroom_A_language__training_results,10,1,-0.7,0.3,-1.1,0.348010216963685,0.0091105699539184
2,DQN_classroom_A_language__training_results,10,2,-0.55,0.1740051084818425,-1.6,0.39999999999999997,0.006054520606994599
3,DQN_classroom_A_language__training_results,10,3,-0.5333333333333333,0.13333333333333333,-2.0,0.5374838498865699,0.004116415977478
4,DQN_classroom_A_language__training_results,10,4,-0.5,0.13437096247164249,-2.8,0.4898979485566356,0.0025001764297485
5,DQN_classroom_A_language__training_results,10,5,-0.5599999999999999,0.09797958971132711,-3.5,0.7187952884282608,0.0025392770767211498
6,DQN_classroom_A_language__training_results,10,6,-0.5833333333333333,0.11979921473804345,-4.1,0.9826268648655785,0.031771183013915946
7,DQN_classroom_A_language__training_results,10,7,-0.5857142857142857,0.14037526640936832,-4.6,1.2578641509408806,0.0100793838500976
8,DQN_classroom_A_language__training_results,10,8,-0.575,0.15723301886761007,-4.9,1.3370780746754385,0.0074994564056396
9,DQN_classroom_A_language__training_results,10,9,-0.5444444444444445,0.14856423051949316,-5.4,1.3597385369580761,0.009578704833984299
10,DQN_classroom_A_language__training_results,10,10,-0.54,0.13597385369580758,-5.2,1.4514360704718159,0.010036706924438449
11,DQN_classroom_A_language__training_results,10,11,-0.47272727272727266,0.131948733679256,-5.8,1.4360439485692007,0.0055325031280517
12,DQN_classroom_A_language__training_results,10,12,-0.4833333333333334,0.11967032904743342,-6.3,1.5132745950421556,0.01616346836090085
13,DQN_classroom_A_language__training_results,10,13,-0.48461538461538467,0.11640573808016583,-6.6,1.5860503004493756,0.057543516159057596
14,DQN_classroom_A_language__training_results,10,14,-0.4714285714285714,0.1132893071749554,-7.4,1.647894279241103,0.00359594821929925
15,DQN_classroom_A_language__training_results,10,15,-0.4933333333333333,0.10985961861607356,-7.3,1.54236470683457,0.02720427513122555
16,DQN_classroom_A_language__training_results,10,16,-0.45625,0.09639779417716063,-7.7,1.5567059238447487,0.00965225696563715
17,DQN_classroom_A_language__training_results,10,17,-0.45294117647058824,0.09157093669674993,-7.9,1.7476968971891105,0.0161473751068115
18,DQN_classroom_A_language__training_results,10,18,-0.43888888888888883,0.0970942720660617,-8.5,1.752775576684654,0.010584235191345149
19,DQN_classroom_A_language__training_results,10,19,-0.4473684210526316,0.09225134614129758,-9.1,1.7978382080215733,0.00703835487365715
20,DQN_classroom_A_language__training_results,10,20,-0.4549999999999999,0.08989191040107865,-9.8,1.8961950204437188,0.0141304731369018
21,DQN_classroom_A_language__training_results,10,21,-0.4666666666666666,0.09029500097351041,-10.4,1.9675139417831606,0.00653970241546625
22,DQN_classroom_A_language__training_results,10,22,-0.4727272727272728,0.08943245189923457,-10.7,1.9666666666666666,0.0035324096679687
23,DQN_classroom_A_language__training_results,10,23,-0.46521739130434775,0.08550724637681158,-11.0,2.016597794967223,0.020124316215515102
24,DQN_classroom_A_language__training_results,10,24,-0.45833333333333337,0.08402490812363428,-11.1,2.078728243689182,0.016504764556884752
25,DQN_classroom_A_language__training_results,10,25,-0.44400000000000006,0.08314912974756727,-11.3,2.201262264146541,0.01672804355621335
26,DQN_classroom_A_language__training_results,10,26,-0.43461538461538457,0.08466393323640542,-11.7,2.211334438749598,0.0065339803695678
27,DQN_classroom_A_language__training_results,10,27,-0.4333333333333333,0.08190127550924436,-12.3,2.261022384281549,0.011082053184509201
28,DQN_classroom_A_language__training_results,10,28,-0.4392857142857142,0.08075079943862677,-12.0,2.285218200133681,0.1378654241561889
29,DQN_classroom_A_language__training_results,10,29,-0.4137931034482759,0.0788006275908166,-12.7,2.3096416268426676,0.0065358877182006
30,DQN_classroom_A_language__training_results,10,30,-0.42333333333333323,0.07698805422808892,-12.8,2.1333333333333333,0.01666581630706785
31,DQN_classroom_A_language__training_results,10,31,-0.4129032258064516,0.06881720430107527,-13.4,2.028683207293725,0.00855624675750725
32,DQN_classroom_A_language__training_results,10,32,-0.41875,0.0633963502279289,-13.6,2.1145002036204943,0.012542724609375
33,DQN_classroom_A_language__training_results,10,33,-0.4121212121212121,0.06407576374607558,-13.0,2.070963275601209,0.15498352050781244
34,DQN_classroom_A_language__training_results,10,34,-0.38235294117647056,0.060910684576506155,-13.2,2.0537229067665814,0.0166351795196533
35,DQN_classroom_A_language__training_results,10,35,-0.3771428571428571,0.05867779733618804,-13.6,2.039607805437114,0.01359045505523675
36,DQN_classroom_A_language__training_results,10,36,-0.3777777777777778,0.056655772373253165,-13.8,2.2201101073795613,0.02070152759552
37,DQN_classroom_A_language__training_results,10,37,-0.372972972972973,0.060002975875123286,-14.0,2.371122565837165,0.0100535154342651
38,DQN_classroom_A_language__training_results,10,38,-0.3684210526315789,0.062397962258872765,-13.9,2.277669374114201,0.0588440895080566
39,DQN_classroom_A_language__training_results,10,39,-0.3564102564102564,0.05840177882344105,-13.9,2.483053675528492,0.0973309278488159
40,DQN_classroom_A_language__training_results,10,40,-0.34750000000000003,0.062076341888212316,-14.1,2.446993620297727,0.02076506614685055
41,DQN_classroom_A_language__training_results,10,41,-0.34390243902439027,0.05968277122677383,-14.1,2.4378952670968728,0.02062499523162835
42,DQN_classroom_A_language__training_results,10,42,-0.33571428571428574,0.0580451254070684,-14.6,2.4184476196289406,0.01003074645996085
43,DQN_classroom_A_language__training_results,10,43,-0.33953488372093027,0.05624296789834745,-14.6,2.513076909996102,0.09846651554107665
44,DQN_classroom_A_language__training_results,10,44,-0.3318181818181818,0.05711538431809322,-14.2,2.611087470342152,0.1308398246765136
45,DQN_classroom_A_language__training_results,10,45,-0.31555555555555553,0.05802416600760338,-14.4,2.696499788820891,0.0202422142028808
46,DQN_classroom_A_language__training_results,10,46,-0.3130434782608696,0.05861956062654111,-14.0,2.6457513110645903,0.1054109334945678
