,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_classroom_A_language__training_results,10,0,,,-1.0,0.0,0.00403165817260735
1,Qlearntab_classroom_A_language__training_results,10,1,-1.0,0.0,-0.9,0.40688518719112343,0.013687133789062448
2,Qlearntab_classroom_A_language__training_results,10,2,-0.45,0.20344259359556172,-1.7,0.42295258468165065,0.0015439987182616999
3,Qlearntab_classroom_A_language__training_results,10,3,-0.5666666666666667,0.14098419489388356,-2.7,0.42295258468165065,0.0040560960769653
4,Qlearntab_classroom_A_language__training_results,10,4,-0.675,0.10573814617041266,-3.1,0.5259911279353167,0.00903320312499995
5,Qlearntab_classroom_A_language__training_results,10,5,-0.62,0.10519822558706332,-3.4,0.6182412330330468,0.00705802440643305
6,Qlearntab_classroom_A_language__training_results,10,6,-0.5666666666666667,0.10304020550550781,-3.8,0.6289320754704403,0.00400006771087645
7,Qlearntab_classroom_A_language__training_results,10,7,-0.5428571428571428,0.08984743935292004,-4.3,0.7608474807008885,0.0065295696258544506
8,Qlearntab_classroom_A_language__training_results,10,8,-0.5375,0.09510593508761106,-4.8,0.9285592184789413,0.0019996166229248004
9,Qlearntab_classroom_A_language__training_results,10,9,-0.5333333333333334,0.10317324649766015,-5.3,0.9551032521262934,0.0065876245498657
10,Qlearntab_classroom_A_language__training_results,10,10,-0.53,0.09551032521262934,-6.3,0.9551032521262934,0.0030275583267211498
11,Qlearntab_classroom_A_language__training_results,10,11,-0.5727272727272729,0.08682756837511761,-6.5,1.1279282877125754,0.0035529136657714497
12,Qlearntab_classroom_A_language__training_results,10,12,-0.5416666666666667,0.09399402397604795,-6.6,1.3759844960366858,0.00403714179992675
13,Qlearntab_classroom_A_language__training_results,10,13,-0.5076923076923078,0.10584496123359126,-7.2,1.4666666666666666,0.0034998655319213503
14,Qlearntab_classroom_A_language__training_results,10,14,-0.5142857142857143,0.10476190476190475,-8.1,1.4487542541400487,0.0020148754119873
15,Qlearntab_classroom_A_language__training_results,10,15,-0.54,0.09658361694266991,-9.1,1.4487542541400487,0.0050170421600341
16,Qlearntab_classroom_A_language__training_results,10,16,-0.56875,0.09054714088375304,-9.4,1.4922019523732928,0.0060003995895385
17,Qlearntab_classroom_A_language__training_results,10,17,-0.5529411764705883,0.08777658543372309,-9.3,1.563827214098653,0.00805354118347165
18,Qlearntab_classroom_A_language__training_results,10,18,-0.5166666666666667,0.0868792896721474,-9.7,1.6669999666733317,0.00456237792968745
19,Qlearntab_classroom_A_language__training_results,10,19,-0.5105263157894736,0.08773684035122797,-10.2,1.818424226264781,0.0010751485824584501
20,Qlearntab_classroom_A_language__training_results,10,20,-0.51,0.09092121131323903,-11.0,1.9148542155126762,0.0015003681182860999
21,Qlearntab_classroom_A_language__training_results,10,21,-0.5238095238095237,0.0911835340720322,-11.2,1.836663641860788,0.008082628250122
22,Qlearntab_classroom_A_language__training_results,10,22,-0.509090909090909,0.08348471099367218,-11.8,1.9194906731850625,0.00500082969665525
23,Qlearntab_classroom_A_language__training_results,10,23,-0.5130434782608696,0.0834561162254375,-12.3,1.9439364415764444,0.0030835866928099996
24,Qlearntab_classroom_A_language__training_results,10,24,-0.5125,0.08099735173235184,-13.0,1.8678567634829197,0.0020010471343994
25,Qlearntab_classroom_A_language__training_results,10,25,-0.5200000000000001,0.0747142705393168,-13.8,1.9252705437591533,0.0030287504196166498
26,Qlearntab_classroom_A_language__training_results,10,26,-0.5307692307692308,0.07404886706765976,-14.6,2.077391526784384,0.0029997825622558
27,Qlearntab_classroom_A_language__training_results,10,27,-0.5407407407407407,0.07694042691794015,-14.9,2.2922574995938927,0.0040004253387450495
28,Qlearntab_classroom_A_language__training_results,10,28,-0.5321428571428573,0.08186633927121044,-15.1,2.4333333333333336,0.0035806894302367496
29,Qlearntab_classroom_A_language__training_results,10,29,-0.5206896551724138,0.08390804597701149,-15.3,2.752978185327462,0.0054998397827148
30,Qlearntab_classroom_A_language__training_results,10,30,-0.51,0.09176593951091541,-15.3,2.8869437896232832,0.0136201381683349
31,Qlearntab_classroom_A_language__training_results,10,31,-0.4935483870967742,0.09312721902010589,-15.7,3.1306726291822833,0.0070290565490722
32,Qlearntab_classroom_A_language__training_results,10,32,-0.490625,0.09783351966194635,-15.4,3.2598568475727068,0.021592974662780748
33,Qlearntab_classroom_A_language__training_results,10,33,-0.4666666666666667,0.09878354083553657,-16.2,3.2138588781850532,0.0060611963272094
34,Qlearntab_classroom_A_language__training_results,10,34,-0.4764705882352941,0.09452526112308979,-16.7,3.2966312771946114,0.0040314197540283
35,Qlearntab_classroom_A_language__training_results,10,35,-0.47714285714285715,0.09418946506270319,-17.5,3.3274948868814542,0.00250172615051265
36,Qlearntab_classroom_A_language__training_results,10,36,-0.48611111111111105,0.09243041352448483,-17.9,3.417113791881486,0.0050272941589355
37,Qlearntab_classroom_A_language__training_results,10,37,-0.48378378378378384,0.09235442680760772,-17.7,3.6363901514184818,0.009095668792724599
38,Qlearntab_classroom_A_language__training_results,10,38,-0.46578947368421053,0.09569447766890743,-18.2,3.7676989735852775,0.0070346593856811
39,Qlearntab_classroom_A_language__training_results,10,39,-0.4666666666666666,0.0966076659893661,-18.7,3.6819378955472164,0.0035884380340575504
40,Qlearntab_classroom_A_language__training_results,10,40,-0.4674999999999999,0.09204844738868041,-19.0,3.7830029224296284,0.007055401802062949
41,Qlearntab_classroom_A_language__training_results,10,41,-0.46341463414634143,0.09226836396169825,-19.3,3.8094910712878987,0.0070341825485229
42,Qlearntab_classroom_A_language__training_results,10,42,-0.4595238095238095,0.09070216836399758,-19.6,3.950246124540146,0.00399827957153315
43,Qlearntab_classroom_A_language__training_results,10,43,-0.4558139534883721,0.09186618894279408,-19.7,4.1661332991956295,0.004553198814392
44,Qlearntab_classroom_A_language__training_results,10,44,-0.44772727272727264,0.0946848477089916,-19.6,4.139779919002673,0.0372722148895263
45,Qlearntab_classroom_A_language__training_results,10,45,-0.4355555555555556,0.0919951093111705,-20.0,4.2242685099842365,0.0035445690155029
46,Qlearntab_classroom_A_language__training_results,10,46,-0.43478260869565216,0.09183192413009211,-20.8,4.1920559792699965,0.00352132320404045
47,Qlearntab_classroom_A_language__training_results,10,47,-0.44255319148936173,0.08919268040999993,-20.8,4.34817969576542,0.0060524940490722
48,Qlearntab_classroom_A_language__training_results,10,48,-0.4333333333333333,0.09058707699511293,-21.5,4.300516764813787,0.0025255680084228
49,Qlearntab_classroom_A_language__training_results,10,49,-0.4387755102040816,0.08776564826150586,-22.0,4.412104562073146,0.0060259103775024
50,Qlearntab_classroom_A_language__training_results,10,50,-0.44000000000000006,0.0882420912414629,-22.2,4.48899889854198,0.0055458545684814
51,Qlearntab_classroom_A_language__training_results,10,51,-0.4352941176470588,0.08801958624592117,-22.4,4.583060597945923,0.0035206079483032
52,Qlearntab_classroom_A_language__training_results,10,52,-0.43076923076923074,0.0881357807297293,-22.9,4.888648984012749,0.0020020008087158004
53,Qlearntab_classroom_A_language__training_results,10,53,-0.4320754716981132,0.09223866007571224,-23.2,5.18287779348715,0.00402450561523435
54,Qlearntab_classroom_A_language__training_results,10,54,-0.4296296296296297,0.09597921839791017,-23.4,5.275098735252892,0.011049628257751399
55,Qlearntab_classroom_A_language__training_results,10,55,-0.4254545454545455,0.09591088609550713,-23.5,5.5402567128648865,0.00655210018157955
56,Qlearntab_classroom_A_language__training_results,10,56,-0.4196428571428571,0.09893315558687298,-24.0,5.849976258261414,0.0045009851455688
57,Qlearntab_classroom_A_language__training_results,10,57,-0.42105263157894746,0.10263116242563884,-23.7,6.0810269600527915,0.0195991992950439
58,Qlearntab_classroom_A_language__training_results,10,58,-0.4086206896551724,0.10484529241470329,-24.5,6.024487068991388,0.00250172615051265
59,Qlearntab_classroom_A_language__training_results,10,59,-0.41525423728813565,0.10210995032188792,-25.3,6.0259623482247395,0.00250029563903805
60,Qlearntab_classroom_A_language__training_results,10,60,-0.4216666666666666,0.10043270580374568,-25.6,6.29850070343023,0.00352084636688225
61,Qlearntab_classroom_A_language__training_results,10,61,-0.419672131147541,0.10325410989229884,-25.5,6.377477732005202,0.0090960264205932
62,Qlearntab_classroom_A_language__training_results,10,62,-0.4112903225806453,0.10286254406460003,-25.9,6.469501097027842,0.0060384273529052
63,Qlearntab_classroom_A_language__training_results,10,63,-0.4111111111111111,0.10269049360361653,-26.7,6.485967759538878,0.0035585165023803
64,Qlearntab_classroom_A_language__training_results,10,64,-0.4171875,0.10134324624279496,-27.2,6.7983658167075545,0.005998969078063901
65,Qlearntab_classroom_A_language__training_results,10,65,-0.4184615384615384,0.1045902433339624,-27.7,7.113445797299022,0.00200068950653075
66,Qlearntab_classroom_A_language__training_results,10,66,-0.4196969696969698,0.1077794817772579,-27.9,7.013399872941637,0.00555729866027825
67,Qlearntab_classroom_A_language__training_results,10,67,-0.4164179104477612,0.10467761004390504,-28.9,7.013399872941637,0.0015016794204711502
68,Qlearntab_classroom_A_language__training_results,10,68,-0.42499999999999993,0.1031382334256123,-29.2,7.296574538781879,0.0060003995895385
69,Qlearntab_classroom_A_language__training_results,10,69,-0.4231884057971015,0.10574745708379535,-29.4,7.450876160261661,0.0040652751922607006
