,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,4,"DefaultEngDQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,0,0,-1,-1,0.0010025501251220703,[1],0,0
1,4,"DefaultEngDQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,1,48,-1,-2,0.054441213607788086,"[0, 2, 1, 0, 2, 0, 3, 1, 0, 3, 2, 3, 3, 1, 0, 3, 3, 2, 3, 2, 2, 1, 2, 0, 1, 1, 1, 0, 0, 1, 3, 2, 1, 0, 3, 1, 0, 2, 2, 0, 2, 1, 1, 1, 3, 2, 3, 0, 2]",0,0
2,4,"DefaultEngDQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,2,16,-1,-3,0.020180463790893555,"[0, 3, 1, 1, 1, 1, 0, 1, 3, 1, 3, 0, 1, 0, 2, 1, 0]",0,0
3,4,"DefaultEngDQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,3,6,-1,-4,0.014091253280639648,"[3, 1, 3, 3, 3, 3, 0]",0,0
4,4,"DefaultEngDQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,4,1,-1,-5,0.004997968673706055,"[3, 0]",0,0
5,4,"DefaultEngDQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,5,45,-1,-6,0.09787726402282715,"[0, 1, 3, 3, 3, 1, 0, 3, 0, 2, 3, 0, 1, 3, 1, 0, 3, 0, 3, 3, 0, 3, 3, 2, 1, 3, 0, 0, 1, 3, 1, 3, 1, 1, 3, 0, 3, 1, 2, 2, 3, 0, 1, 2, 2, 0]",0,0
6,4,"DefaultEngDQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,6,1,-1,-7,0.00409245491027832,"[1, 2]",0,0
7,4,"DefaultEngDQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,7,7,-1,-8,0.014084100723266602,"[3, 1, 1, 3, 3, 1, 3, 3]",0,0
8,4,"DefaultEngDQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,8,0,-1,-9,0.002000570297241211,[1],0,0
9,4,"DefaultEngDQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,9,0,-1,-10,0.0019996166229248047,[3],0,0
10,4,"DefaultEngDQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,10,1,-1,-11,0.004081249237060547,"[3, 3]",0,0
11,4,"DefaultEngDQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,11,3,-1,-12,0.007062673568725586,"[3, 1, 1, 1]",0,0
