,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,0,-1,-1,0.532545804977417,[2],-0.05,-0.05
1,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,6,-1,-2,2.2431836128234863,"[2, 3, 1, 1, 1, 2, 1]",-0.09975625,-0.033252083333333335
2,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,39,-1,-3,2.073162317276001,"[3, 0, 1, 2, 3, 2, 0, 2, 3, 2, 0, 1, 3, 0, 2, 0, 3, 1, 3, 0, 1, 0, 3, 3, 3, 3, 0, 3, 1, 2, 3, 2, 1, 0, 0, 3, 1, 3, 0, 2]",-0.1520184375,-0.0304036875
3,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,12,1,-2,1.9541993141174316,"[0, 2, 3, 2, 3, 0, 0, 3, 2, 0, 1, 1, 1]",-0.10201843749999999,-0.017003072916666664
4,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,6,-1,-3,0.008116722106933594,"[3, 0, 2, 1, 2, 2, 3]",-0.1520184375,-0.02171691964285714
5,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,12,-1,-4,0.015224933624267578,"[3, 3, 1, 1, 3, 0, 3, 3, 2, 0, 0, 0, 3]",-0.20189968749999998,-0.025237460937499998
6,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,11,-1,-5,0.012118101119995117,"[0, 2, 0, 0, 0, 3, 3, 0, 1, 2, 2, 2]",-0.24939968749999997,-0.031174960937499996
7,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,9,1,-4,0.010111331939697266,"[1, 0, 2, 0, 0, 0, 2, 0, 2, 1]",-0.1971496875,-0.01971496875
8,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,39,1,-3,0.0403597354888916,"[0, 2, 1, 1, 2, 1, 2, 0, 3, 2, 3, 2, 2, 2, 3, 2, 2, 3, 3, 1, 1, 3, 0, 3, 1, 0, 3, 1, 2, 3, 3, 3, 2, 2, 0, 3, 0, 2, 1, 1]",-0.1473934375,-0.01339940340909091
9,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,0,-1,-4,0.0010001659393310547,[0],-0.1973934375,-0.016449453125
10,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,0,-1,-5,0.0010001659393310547,[1],-0.24739343749999998,-0.019030264423076922
11,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,1,-1,-6,0.0019996166229248047,"[0, 3]",-0.2946496875,-0.022665360576923074
12,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,12,26,1,-5,0.02628493309020996,"[0, 3, 3, 2, 0, 2, 3, 1, 2, 2, 1, 2, 2, 1, 1, 3, 1, 2, 0, 0, 2, 2, 3, 2, 0, 0, 1]",-0.23730587151181637,-0.015820391434121093
13,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,13,4,-1,-6,0.005065202713012695,"[0, 0, 2, 2, 0]",-0.2846439914518989,-0.01897626609679326
14,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,14,11,-1,-7,0.012078523635864258,"[3, 3, 2, 2, 2, 2, 2, 2, 0, 2, 2, 3]",-0.3291379445453608,-0.02194252963635739
15,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,15,4,1,-6,0.00500035285949707,"[2, 2, 2, 0, 1]",-0.27682912691074,-0.018455275127382667
16,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,16,1,-1,-7,0.0020952224731445312,"[2, 2]",-0.324473198767549,-0.021631546584503267
17,8,"DefaultEngQlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,17,0,-1,-8,0.0010001659393310547,[2],-0.36984189909528986,-0.024656126606352656
