,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,19,-1,-1,0.020385026931762695,"[2, 0, 0, 3, 0, 1, 0, 3, 2, 0, 3, 3, 2, 1, 0, 1, 2, 2, 1, 3]",-0.05,-0.05
1,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,8,-1,-2,0.009096622467041016,"[1, 0, 0, 2, 1, 2, 1, 1, 2]",-0.1,-0.05
2,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,1,-1,-3,0.0021038055419921875,"[1, 0]",-0.15000000000000002,-0.05000000000000001
3,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,0,-1,-4,0.0010001659393310547,[1],-0.2,-0.05
4,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,2,-1,-5,0.003000020980834961,"[1, 1, 2]",-0.2472503125,-0.061812578125
5,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,0,-1,-6,0.0009996891021728516,[2],-0.29237531250000004,-0.07309382812500001
6,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,22,1,-5,0.024283170700073242,"[2, 2, 2, 3, 3, 3, 3, 0, 0, 3, 1, 2, 2, 2, 0, 0, 1, 0, 1, 3, 3, 1, 1]",-0.2264111384355469,-0.04528222768710938
7,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,3,-1,-6,0.004000425338745117,"[3, 3, 1, 3]",-0.2739111384355469,-0.04565185640592448
8,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,0,-1,-7,0.0009999275207519531,[0],-0.32141113843554686,-0.05356852307259114
9,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,3,1,-6,0.005091190338134766,"[3, 3, 0, 1]",-0.26916113843554684,-0.03845159120507812
10,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,2,-1,-7,0.003000497817993164,"[1, 3, 1]",-0.31623393609179684,-0.04517627658454241
11,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,0,-1,-8,0.0010001659393310547,[3],-0.36398332671679684,-0.05199761810239955
12,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,12,3,-1,-9,0.00500035285949707,"[0, 3, 1, 2]",-0.4064979198263672,-0.05807113140376674
13,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,13,2,-1,-10,0.0030951499938964844,"[2, 3, 2]",-0.4438350381859963,-0.06340500545514233
14,2,"DefaultEngQlearntab_classroom_A_language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,14,10,-1,-11,0.012102603912353516,"[0, 1, 0, 1, 1, 2, 0, 1, 0, 3, 1]",-0.48806677052695674,-0.05422964116966186
