,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,8,"DefaultEngQlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,1,-1,-1,0.001998424530029297,"[1, 2]",-0.05,-0.05
1,8,"DefaultEngQlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,2,-1,-2,0.0019998550415039062,"[0, 3, 0]",-0.1,-0.05
2,8,"DefaultEngQlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,0,-1,-3,0.0010004043579101562,[2],-0.14750000000000002,-0.07375000000000001
3,8,"DefaultEngQlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,31,-1,-4,0.022220611572265625,"[3, 0, 1, 3, 1, 2, 3, 0, 0, 3, 1, 3, 3, 1, 3, 0, 2, 2, 0, 1, 3, 2, 1, 1, 1, 0, 0, 3, 1, 2, 0, 1]",-0.19987500000000002,-0.049968750000000006
4,8,"DefaultEngQlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,4,-1,-5,0.0030031204223632812,"[3, 0, 0, 0, 2]",-0.249875,-0.049975000000000006
5,8,"DefaultEngQlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,36,1,-4,0.02514791488647461,"[3, 1, 3, 0, 3, 1, 0, 0, 3, 3, 0, 1, 3, 3, 3, 0, 2, 0, 0, 0, 2, 3, 2, 3, 0, 1, 0, 1, 0, 1, 3, 2, 1, 2, 3, 1, 1]",-0.19987500000000002,-0.0333125
6,8,"DefaultEngQlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,1,-1,-5,0.0020704269409179688,"[0, 2]",-0.24500000000000002,-0.04083333333333334
7,8,"DefaultEngQlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,16,1,-4,0.012082815170288086,"[0, 3, 3, 0, 1, 2, 3, 3, 3, 2, 2, 3, 0, 1, 1, 1, 1]",-0.19512500000000005,-0.027875000000000007
8,8,"DefaultEngQlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,5,-1,-5,0.003999948501586914,"[3, 0, 1, 3, 3, 0]",-0.24512500000000004,-0.030640625000000005
9,8,"DefaultEngQlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,4,-1,-6,0.00407099723815918,"[3, 1, 3, 3, 3]",-0.295125,-0.03279166666666667
10,8,"DefaultEngQlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,1,-1,-7,0.0010039806365966797,"[0, 2]",-0.33786875000000005,-0.037540972222222226
11,8,"DefaultEngQlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,0,-1,-8,0.0009999275207519531,[2],-0.37859406250000005,-0.04206600694444445
12,8,"DefaultEngQlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,12,15,-1,-9,0.011073589324951172,"[1, 3, 3, 3, 1, 1, 2, 1, 3, 3, 0, 0, 2, 1, 3, 1]",-0.4164222011966846,-0.03785656374515314
13,8,"DefaultEngQlearntab_default_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,13,1,-1,-10,0.0009999275207519531,"[1, 3]",-0.46382246593838866,-0.0421656787216717
