,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DefaultEng_DQN_LLM__training_results,10,0,,,-0.8,0.19999999999999998,1.6234267950057981
1,DefaultEng_DQN_LLM__training_results,10,1,-0.8,0.19999999999999998,-1.8,0.19999999999999998,0.00299894809722895
2,DefaultEng_DQN_LLM__training_results,10,2,-0.9,0.09999999999999999,-2.4,0.3055050463303893,0.00403344631195065
3,DefaultEng_DQN_LLM__training_results,10,3,-0.7999999999999999,0.10183501544346311,-3.4,0.3055050463303893,0.00758945941925045
4,DefaultEng_DQN_LLM__training_results,10,4,-0.85,0.07637626158259732,-4.2,0.32659863237109044,0.0029997825622558
5,DefaultEng_DQN_LLM__training_results,10,5,-0.8400000000000001,0.06531972647421808,-5.0,0.3333333333333333,0.00299942493438715
6,DefaultEng_DQN_LLM__training_results,10,6,-0.8333333333333333,0.05555555555555556,-6.0,0.3333333333333333,0.0030523538589477
7,DefaultEng_DQN_LLM__training_results,10,7,-0.8571428571428573,0.04761904761904761,-6.4,0.26666666666666666,0.010107517242431599
8,DefaultEng_DQN_LLM__training_results,10,8,-0.8,0.03333333333333333,-7.4,0.26666666666666666,0.0054998397827148
9,DefaultEng_DQN_LLM__training_results,10,9,-0.8222222222222222,0.029629629629629624,-8.4,0.26666666666666666,0.0045586824417114
10,DefaultEng_DQN_LLM__training_results,10,10,-0.8400000000000001,0.026666666666666658,-9.4,0.26666666666666666,0.00304877758026115
11,DefaultEng_DQN_LLM__training_results,10,11,-0.8545454545454547,0.024242424242424232,-10.2,0.3590109871423002,0.01059854030609125
12,DefaultEng_DQN_LLM__training_results,10,12,-0.85,0.029917582261858356,-11.2,0.3590109871423002,0.008613109588623
13,DefaultEng_DQN_LLM__training_results,10,13,-0.8615384615384615,0.027616229780176943,-12.0,0.2981423969999719,0.00805366039276115
14,DefaultEng_DQN_LLM__training_results,10,14,-0.8571428571428571,0.021295885499997995,-12.8,0.3590109871423002,0.0034993886947631498
15,DefaultEng_DQN_LLM__training_results,10,15,-0.8533333333333335,0.023934065809486694,-13.6,0.39999999999999997,0.006039023399353
16,DefaultEng_DQN_LLM__training_results,10,16,-0.85,0.024999999999999998,-14.0,0.5374838498865699,0.0126433372497558
