,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DefaultEng_DQN_classroom_A_language__training_results,10,0,,,-1.0,0.0,0.0029988288879394
1,DefaultEng_DQN_classroom_A_language__training_results,10,1,-1.0,0.0,-1.8,0.19999999999999998,0.0025355815887451
2,DefaultEng_DQN_classroom_A_language__training_results,10,2,-0.9,0.09999999999999999,-2.2,0.4422166387140533,0.0106173753738403
3,DefaultEng_DQN_classroom_A_language__training_results,10,3,-0.7333333333333333,0.14740554623801777,-3.2,0.4422166387140533,0.00505113601684565
4,DefaultEng_DQN_classroom_A_language__training_results,10,4,-0.8,0.11055415967851333,-3.6,0.7333333333333333,0.007586717605590749
5,DefaultEng_DQN_classroom_A_language__training_results,10,5,-0.72,0.14666666666666667,-4.4,0.7180219742846006,0.00302708148956295
6,DefaultEng_DQN_classroom_A_language__training_results,10,6,-0.7333333333333333,0.11967032904743341,-5.4,0.7180219742846006,0.0029997825622558
7,DefaultEng_DQN_classroom_A_language__training_results,10,7,-0.7714285714285715,0.10257456775494292,-6.2,0.69602043392737,0.01461672782897945
8,DefaultEng_DQN_classroom_A_language__training_results,10,8,-0.775,0.08700255424092125,-7.0,0.6666666666666666,0.0075701475143432
9,DefaultEng_DQN_classroom_A_language__training_results,10,9,-0.7777777777777778,0.07407407407407407,-7.6,0.7180219742846006,0.00549948215484615
10,DefaultEng_DQN_classroom_A_language__training_results,10,10,-0.76,0.07180219742846004,-8.0,1.0,0.0100260972976684
11,DefaultEng_DQN_classroom_A_language__training_results,10,11,-0.7272727272727273,0.0909090909090909,-8.8,1.083205120618128,0.00554764270782465
12,DefaultEng_DQN_classroom_A_language__training_results,10,12,-0.7333333333333333,0.090267093384844,-9.4,1.1469767022723503,0.006500124931335401
13,DefaultEng_DQN_classroom_A_language__training_results,10,13,-0.7230769230769231,0.08822897709787308,-9.7,1.2115187896924164,0.0353397130966186
14,DefaultEng_DQN_classroom_A_language__training_results,10,14,-0.6928571428571428,0.08653705640660118,-10.7,1.2115187896924164,0.005532503128051701
15,DefaultEng_DQN_classroom_A_language__training_results,10,15,-0.7133333333333334,0.08076791931282777,-11.0,1.3743685418725535,0.0282630920410156
16,DefaultEng_DQN_classroom_A_language__training_results,10,16,-0.6875,0.0858980338670346,-11.6,1.3349989596333853,0.0101041793823242
17,DefaultEng_DQN_classroom_A_language__training_results,10,17,-0.6823529411764706,0.07852935056666974,-12.6,1.3349989596333853,0.0055335760116577
18,DefaultEng_DQN_classroom_A_language__training_results,10,18,-0.7,0.07416660886852142,-13.1,1.369914839202301,0.01162993907928465
19,DefaultEng_DQN_classroom_A_language__training_results,10,19,-0.6894736842105263,0.07210078101064743,-13.9,1.3535960336164634,0.00504744052886955
20,DefaultEng_DQN_classroom_A_language__training_results,10,20,-0.6950000000000001,0.06767980168082317,-14.1,1.386041525752786,0.0100274085998535
21,DefaultEng_DQN_classroom_A_language__training_results,10,21,-0.6714285714285715,0.06600197741679933,-14.6,1.4391355429948602,0.0121749639511108
22,DefaultEng_DQN_classroom_A_language__training_results,10,22,-0.6636363636363637,0.06541525195431183,-14.8,1.5260697523012794,0.0091347694396972
23,DefaultEng_DQN_classroom_A_language__training_results,10,23,-0.6434782608695653,0.0663508587957078,-15.5,1.600347184554374,0.0065292119979858
24,DefaultEng_DQN_classroom_A_language__training_results,10,24,-0.6458333333333333,0.06668113268976557,-15.8,1.6041612554021283,0.0136520862579345
25,DefaultEng_DQN_classroom_A_language__training_results,10,25,-0.632,0.06416645021608514,-16.3,1.5919938581679405,0.01262557506561275
26,DefaultEng_DQN_classroom_A_language__training_results,10,26,-0.6269230769230769,0.061230533006459247,-17.2,1.540562667772179,0.004499912261962851
27,DefaultEng_DQN_classroom_A_language__training_results,10,27,-0.637037037037037,0.05705787658415478,-18.0,1.5846485765339615,0.00758457183837885
28,DefaultEng_DQN_classroom_A_language__training_results,10,28,-0.6428571428571429,0.05659459201907006,-18.9,1.6428295373802142,0.004035830497741651
29,DefaultEng_DQN_classroom_A_language__training_results,10,29,-0.6517241379310346,0.05664929439242118,-19.9,1.6428295373802142,0.00300109386444085
30,DefaultEng_DQN_classroom_A_language__training_results,10,30,-0.6633333333333333,0.05476098457934048,-20.6,1.6069294390925264,0.00558137893676755
31,DefaultEng_DQN_classroom_A_language__training_results,10,31,-0.664516129032258,0.05183643351911376,-21.2,1.7243356208503418,0.01261341571807855
32,DefaultEng_DQN_classroom_A_language__training_results,10,32,-0.6625,0.05388548815157318,-22.0,1.6733200530681511,0.00300002098083495
33,DefaultEng_DQN_classroom_A_language__training_results,10,33,-0.6666666666666666,0.050706668274792456,-22.2,1.7048949136725893,0.02070379257202145
34,DefaultEng_DQN_classroom_A_language__training_results,10,34,-0.6529411764705882,0.050143968049193806,-22.7,1.8502252115170557,0.017659187316894448
35,DefaultEng_DQN_classroom_A_language__training_results,10,35,-0.6485714285714286,0.05286357747191587,-23.4,1.9160143817599886,0.017615795135498
36,DefaultEng_DQN_classroom_A_language__training_results,10,36,-0.65,0.05322262171555523,-24.0,1.9663841605003498,0.0050848722457885
37,DefaultEng_DQN_classroom_A_language__training_results,10,37,-0.6486486486486487,0.053145517851360805,-24.5,1.8514258769331753,0.0105667114257812
38,DefaultEng_DQN_classroom_A_language__training_results,10,38,-0.6447368421052632,0.04872173360350461,-24.8,1.948218559493661,0.011076927185058549
39,DefaultEng_DQN_classroom_A_language__training_results,10,39,-0.635897435897436,0.049954322038299,-25.3,2.0223748416156684,0.03123855590820305
40,DefaultEng_DQN_classroom_A_language__training_results,10,40,-0.6325,0.05055937104039171,-25.6,1.8571184369578824,0.0197060108184814
41,DefaultEng_DQN_classroom_A_language__training_results,10,41,-0.624390243902439,0.045295571633119085,-26.4,1.8511257835886425,0.0050008296966552
