,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DefaultEng_DQN_default__training_results,10,0,,,-0.9,0.09999999999999999,0.0045353174209594
1,DefaultEng_DQN_default__training_results,10,1,-0.9,0.09999999999999999,-1.7,0.21343747458109494,0.00249958038330075
2,DefaultEng_DQN_default__training_results,10,2,-0.85,0.10671873729054747,-2.5,0.26874192494328497,0.0010011196136474
3,DefaultEng_DQN_default__training_results,10,3,-0.8333333333333333,0.08958064164776165,-3.5,0.26874192494328497,0.00304830074310295
4,DefaultEng_DQN_default__training_results,10,4,-0.875,0.06718548123582124,-4.1,0.31446603773522014,0.00752854347229
5,DefaultEng_DQN_default__training_results,10,5,-0.82,0.06289320754704403,-4.9,0.31446603773522014,0.003544807434082
6,DefaultEng_DQN_default__training_results,10,6,-0.8166666666666667,0.05241100628920335,-5.7,0.42295258468165065,0.0024999380111693998
7,DefaultEng_DQN_default__training_results,10,7,-0.8142857142857143,0.06042179781166438,-6.3,0.6333333333333332,0.00354194641113275
8,DefaultEng_DQN_default__training_results,10,8,-0.7875,0.07916666666666665,-7.1,0.604611904907235,0.00508117675781245
9,DefaultEng_DQN_default__training_results,10,9,-0.7888888888888889,0.06717910054524835,-7.7,0.6674994798166929,0.00303995609283445
10,DefaultEng_DQN_default__training_results,10,10,-0.77,0.06674994798166928,-8.1,0.8225975119502043,0.01307177543640135
11,DefaultEng_DQN_default__training_results,10,11,-0.7363636363636363,0.07478159199547313,-9.1,0.8225975119502043,0.009085655212402299
12,DefaultEng_DQN_default__training_results,10,12,-0.7583333333333333,0.06854979266251704,-9.9,0.8749603165604457,0.00554943084716795
13,DefaultEng_DQN_default__training_results,10,13,-0.7615384615384616,0.0673046397354189,-10.9,0.8749603165604457,0.005027651786804151
14,DefaultEng_DQN_default__training_results,10,14,-0.7785714285714286,0.062497165468603275,-11.7,1.0115993936995678,0.0080569982528686
