,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DefaultEng_Qlearntab_LLM__training_results,10,0,,,-0.8,0.19999999999999998,0.6609643697738647
1,DefaultEng_Qlearntab_LLM__training_results,10,1,-0.8,0.19999999999999998,-1.8,0.19999999999999998,0.276660680770874
2,DefaultEng_Qlearntab_LLM__training_results,10,2,-0.9,0.09999999999999999,-2.6,0.26666666666666666,0.42114996910095215
3,DefaultEng_Qlearntab_LLM__training_results,10,3,-0.8666666666666666,0.08888888888888886,-3.2,0.32659863237109044,0.00808417797088615
4,DefaultEng_Qlearntab_LLM__training_results,10,4,-0.8,0.08164965809277261,-3.8,0.4422166387140533,0.007598757743835401
5,DefaultEng_Qlearntab_LLM__training_results,10,5,-0.76,0.08844332774281068,-4.4,0.39999999999999997,0.0131224393844604
6,DefaultEng_Qlearntab_LLM__training_results,10,6,-0.7333333333333333,0.06666666666666667,-5.4,0.39999999999999997,0.00453138351440425
7,DefaultEng_Qlearntab_LLM__training_results,10,7,-0.7714285714285715,0.057142857142857134,-5.6,0.6531972647421809,0.0176550149917602
8,DefaultEng_Qlearntab_LLM__training_results,10,8,-0.7,0.08164965809277261,-6.4,0.7333333333333333,0.0025004148483276
9,DefaultEng_Qlearntab_LLM__training_results,10,9,-0.7111111111111111,0.08148148148148147,-6.8,0.6798692684790381,0.00510859489440915
10,DefaultEng_Qlearntab_LLM__training_results,10,10,-0.6799999999999999,0.06798692684790379,-7.0,0.7888106377466154,0.0069999694824218
11,DefaultEng_Qlearntab_LLM__training_results,10,11,-0.6363636363636364,0.07171005797696504,-7.8,0.8666666666666667,0.0029999017715453997
12,DefaultEng_Qlearntab_LLM__training_results,10,12,-0.65,0.07222222222222223,-8.4,1.0349449797506682,0.0081037282943725
13,DefaultEng_Qlearntab_LLM__training_results,10,13,-0.6461538461538462,0.07961115228851293,-8.8,1.1623730516108461,0.0050604343414306
14,DefaultEng_Qlearntab_LLM__training_results,10,14,-0.6285714285714286,0.08302664654363186,-9.2,1.2454361128179603,0.00305593013763425
15,DefaultEng_Qlearntab_LLM__training_results,10,15,-0.6133333333333335,0.08302907418786402,-9.8,1.3148721948877347,0.0034998655319213503
16,DefaultEng_Qlearntab_LLM__training_results,10,16,-0.6125,0.08217951218048342,-10.6,1.2927146286443545,0.0035514831542968
17,DefaultEng_Qlearntab_LLM__training_results,10,17,-0.623529411764706,0.07604203697907966,-11.2,1.3063945294843617,0.0034998655319213503
18,DefaultEng_Qlearntab_LLM__training_results,10,18,-0.6222222222222221,0.07257747386024231,-11.8,1.3063945294843615,0.0055557489395140994
19,DefaultEng_Qlearntab_LLM__training_results,10,19,-0.6210526315789473,0.0687576068149664,-12.6,1.2310790208412925,0.00805234909057615
20,DefaultEng_Qlearntab_LLM__training_results,10,20,-0.63,0.06155395104206463,-13.6,1.2310790208412925,0.00299990177154535
21,DefaultEng_Qlearntab_LLM__training_results,10,21,-0.6476190476190476,0.05862281051625201,-14.0,1.3662601021279466,0.00556588172912595
22,DefaultEng_Qlearntab_LLM__training_results,10,22,-0.6363636363636365,0.06210273191490665,-14.8,1.3482498944104455,0.0050324201583862
23,DefaultEng_Qlearntab_LLM__training_results,10,23,-0.6434782608695652,0.05861956062654109,-15.4,1.521694961401777,0.0090616941452026
24,DefaultEng_Qlearntab_LLM__training_results,10,24,-0.6416666666666666,0.06340395672507403,-16.2,1.4360439485692007,0.0035761594772338503
25,DefaultEng_Qlearntab_LLM__training_results,10,25,-0.648,0.05744175794276803,-16.8,1.6384274303259343,0.00857567787170405
26,DefaultEng_Qlearntab_LLM__training_results,10,26,-0.6461538461538462,0.06301643962792056,-17.8,1.6384274303259343,0.00254189968109125
27,DefaultEng_Qlearntab_LLM__training_results,10,27,-0.6592592592592593,0.06068249741947905,-18.2,1.645195023900409,0.0035337209701537496
28,DefaultEng_Qlearntab_LLM__training_results,10,28,-0.6500000000000001,0.058756965139300316,-18.8,1.5620499351813308,0.0070725679397582505
29,DefaultEng_Qlearntab_LLM__training_results,10,29,-0.6482758620689656,0.05386379086832175,-19.8,1.5620499351813308,0.00306844711303705
30,DefaultEng_Qlearntab_LLM__training_results,10,30,-0.66,0.05206833117271102,-20.4,1.5506271132817342,0.0030256509780883
31,DefaultEng_Qlearntab_LLM__training_results,10,31,-0.6580645161290322,0.050020229460701095,-21.0,1.6124515496597098,0.00502932071685785
32,DefaultEng_Qlearntab_LLM__training_results,10,32,-0.65625,0.05038911092686593,-22.0,1.6124515496597098,0.00199997425079345
33,DefaultEng_Qlearntab_LLM__training_results,10,33,-0.6666666666666667,0.04886216817150636,-22.4,1.7587874611030558,0.005585193634033149
34,DefaultEng_Qlearntab_LLM__training_results,10,34,-0.6588235294117647,0.05172904297361928,-23.4,1.7587874611030558,0.004526972770690901
35,DefaultEng_Qlearntab_LLM__training_results,10,35,-0.6685714285714286,0.05025107031723017,-24.0,1.7638342073763935,0.00752258300781245
36,DefaultEng_Qlearntab_LLM__training_results,10,36,-0.6666666666666667,0.048995394649344264,-24.6,1.808621328833405,0.0034996271133422496
37,DefaultEng_Qlearntab_LLM__training_results,10,37,-0.664864864864865,0.048881657536037966,-25.4,1.8390818965511628,0.0020787715911865
38,DefaultEng_Qlearntab_LLM__training_results,10,38,-0.668421052631579,0.04839689201450428,-26.2,1.9595917942265424,0.00453889369964595
39,DefaultEng_Qlearntab_LLM__training_results,10,39,-0.6717948717948719,0.05024594344170621,-26.4,1.833030277982336,0.00653684139251705
40,DefaultEng_Qlearntab_LLM__training_results,10,40,-0.6599999999999999,0.0458257569495584,-27.0,2.022100118413747,0.0044990777969360005
41,DefaultEng_Qlearntab_LLM__training_results,10,41,-0.6585365853658536,0.049319515083262114,-27.6,2.082733246908441,0.0050350427627563
42,DefaultEng_Qlearntab_LLM__training_results,10,42,-0.6571428571428571,0.04958888683115335,-28.0,2.070963275601209,0.0075384378433227
43,DefaultEng_Qlearntab_LLM__training_results,10,43,-0.6511627906976745,0.04816193664188858,-29.0,2.070963275601209,0.0040807723999023
44,DefaultEng_Qlearntab_LLM__training_results,10,44,-0.6590909090909091,0.047067347172754744,-29.2,2.0752509888364505,0.0105516910552978
45,DefaultEng_Qlearntab_LLM__training_results,10,45,-0.6488888888888888,0.04611668864081002,-29.6,2.3055488621054105,0.00304055213928215
46,DefaultEng_Qlearntab_LLM__training_results,10,46,-0.6434782608695653,0.05012062743707414,-29.8,2.3132468763863296,0.00750076770782465
47,DefaultEng_Qlearntab_LLM__training_results,10,47,-0.6340425531914894,0.04921801864651764,-30.1,2.368543856465402,0.0080988407135009
48,DefaultEng_Qlearntab_LLM__training_results,10,48,-0.6270833333333333,0.049344663676362546,-30.5,2.372293779821078,0.0075875520706176
49,DefaultEng_Qlearntab_LLM__training_results,10,49,-0.6224489795918366,0.04841415877185873,-30.9,2.2233608194203054,0.009593486785888599
50,DefaultEng_Qlearntab_LLM__training_results,10,50,-0.618,0.0444672163884061,-31.3,2.338327987639411,0.00703883171081535
51,DefaultEng_Qlearntab_LLM__training_results,10,51,-0.6137254901960785,0.045849568385086484,-31.9,2.2922574995938922,0.00350129604339595
52,DefaultEng_Qlearntab_LLM__training_results,10,52,-0.6134615384615385,0.04408187499219024,-32.7,2.338327987639411,0.00606894493103025
53,DefaultEng_Qlearntab_LLM__training_results,10,53,-0.6169811320754717,0.044119395993196434,-33.1,2.4057800767688176,0.006537556648254349
54,DefaultEng_Qlearntab_LLM__training_results,10,54,-0.6129629629629629,0.04455148290312625,-33.5,2.508873142357828,0.0065734386444091
55,DefaultEng_Qlearntab_LLM__training_results,10,55,-0.609090909090909,0.045615875315596875,-34.3,2.5035530307500533,0.0055480003356933
56,DefaultEng_Qlearntab_LLM__training_results,10,56,-0.6125,0.044706304120536666,-34.9,2.549291840666519,0.002535343170166
57,DefaultEng_Qlearntab_LLM__training_results,10,57,-0.612280701754386,0.04472441825730735,-35.7,2.5035530307500533,0.003587007522583
58,DefaultEng_Qlearntab_LLM__training_results,10,58,-0.6155172413793104,0.043164707426725055,-36.3,2.6668749918626142,0.00549900531768795
59,DefaultEng_Qlearntab_LLM__training_results,10,59,-0.6152542372881357,0.0452012710485189,-36.9,2.6180993954478584,0.0060466527938842
60,DefaultEng_Qlearntab_LLM__training_results,10,60,-0.615,0.04363498992413097,-37.9,2.6180993954478584,0.0080957412719726
61,DefaultEng_Qlearntab_LLM__training_results,10,61,-0.6213114754098361,0.0429196622204567,-38.5,2.6967058093574505,0.00304102897644035
62,DefaultEng_Qlearntab_LLM__training_results,10,62,-0.6209677419354839,0.0434952549896363,-38.7,2.804955931521523,0.0055439472198485495
63,DefaultEng_Qlearntab_LLM__training_results,10,63,-0.6142857142857142,0.044523110024151165,-39.7,2.804955931521523,0.00659370422363275
64,DefaultEng_Qlearntab_LLM__training_results,10,64,-0.6203125,0.0438274364300238,-40.1,2.8380353141644385,0.00557386875152585
65,DefaultEng_Qlearntab_LLM__training_results,10,65,-0.6169230769230769,0.043662081756375974,-40.7,2.82075639973867,0.00358557701110835
66,DefaultEng_Qlearntab_LLM__training_results,10,66,-0.6166666666666668,0.04273873332937379,-40.9,2.845854685132199,0.006548285484313901
67,DefaultEng_Qlearntab_LLM__training_results,10,67,-0.6104477611940299,0.04247544306167462,-41.5,2.948634335492355,0.00354731082916255
68,DefaultEng_Qlearntab_LLM__training_results,10,68,-0.6102941176470589,0.043362269639593456,-41.5,3.030401513551188,0.00758779048919675
69,DefaultEng_Qlearntab_LLM__training_results,10,69,-0.6014492753623188,0.04391886251523461,-42.3,2.996479415729213,0.0044997930526733
70,DefaultEng_Qlearntab_LLM__training_results,10,70,-0.6042857142857143,0.04280684879613162,-43.3,2.996479415729213,0.0040500164031982
71,DefaultEng_Qlearntab_LLM__training_results,10,71,-0.6098591549295775,0.04220393543280582,-43.9,2.8923270139380084,0.00209116935729975
72,DefaultEng_Qlearntab_LLM__training_results,10,72,-0.6097222222222223,0.04017120852691678,-44.1,2.734349404642111,0.0030490159988403
73,DefaultEng_Qlearntab_LLM__training_results,10,73,-0.6041095890410959,0.037456841159480975,-44.7,2.797022226106423,0.00253784656524655
74,DefaultEng_Qlearntab_LLM__training_results,10,74,-0.604054054054054,0.0377975976500868,-45.3,2.6668749918626147,0.0045372247695922505
75,DefaultEng_Qlearntab_LLM__training_results,10,75,-0.6039999999999999,0.03555833322483487,-45.5,2.6299556396765835,0.00404071807861325
76,DefaultEng_Qlearntab_LLM__training_results,10,76,-0.5986842105263157,0.03460467946942873,-46.1,2.5053276565484737,0.00404095649719235
77,DefaultEng_Qlearntab_LLM__training_results,10,77,-0.5987012987012986,0.03253672281231784,-46.7,2.4497165368897504,0.0041078329086303
78,DefaultEng_Qlearntab_LLM__training_results,10,78,-0.5987179487179488,0.031406622267817305,-47.3,2.403931964280372,0.0029981136322021
