,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,DefaultEng_Qlearntab_classroom_A_language__training_results,10,0,,,-0.8,0.19999999999999998,0.0035802125930786003
1,DefaultEng_Qlearntab_classroom_A_language__training_results,10,1,-0.8,0.19999999999999998,-1.4,0.3055050463303893,0.0060675144195556
2,DefaultEng_Qlearntab_classroom_A_language__training_results,10,2,-0.7,0.15275252316519464,-2.0,0.3333333333333333,0.00405013561248775
3,DefaultEng_Qlearntab_classroom_A_language__training_results,10,3,-0.6666666666666666,0.1111111111111111,-3.0,0.3333333333333333,0.0045356750488281
4,DefaultEng_Qlearntab_classroom_A_language__training_results,10,4,-0.75,0.08333333333333333,-3.8,0.32659863237109044,0.002084732055664
5,DefaultEng_Qlearntab_classroom_A_language__training_results,10,5,-0.76,0.06531972647421808,-4.8,0.32659863237109044,0.004000544548034651
6,DefaultEng_Qlearntab_classroom_A_language__training_results,10,6,-0.8,0.05443310539518173,-5.6,0.30550504633038933,0.0034997463226318004
7,DefaultEng_Qlearntab_classroom_A_language__training_results,10,7,-0.8,0.04364357804719848,-5.8,0.4666666666666666,0.006577491760253899
8,DefaultEng_Qlearntab_classroom_A_language__training_results,10,8,-0.725,0.05833333333333333,-6.4,0.5206833117271102,0.006052017211914
9,DefaultEng_Qlearntab_classroom_A_language__training_results,10,9,-0.711111111111111,0.057853701303012255,-6.4,0.49888765156985887,0.02873766422271725
10,DefaultEng_Qlearntab_classroom_A_language__training_results,10,10,-0.6399999999999999,0.04988876515698588,-6.8,0.5537749241945383,0.00907003879547115
11,DefaultEng_Qlearntab_classroom_A_language__training_results,10,11,-0.6181818181818182,0.0503431749267762,-7.0,0.4472135954999579,0.0055508613586425
12,DefaultEng_Qlearntab_classroom_A_language__training_results,10,12,-0.5833333333333333,0.03726779962499649,-7.4,0.39999999999999997,0.00454270839691155
13,DefaultEng_Qlearntab_classroom_A_language__training_results,10,13,-0.5692307692307692,0.030769230769230764,-8.0,0.5163977794943222,0.0035476684570311997
14,DefaultEng_Qlearntab_classroom_A_language__training_results,10,14,-0.5714285714285714,0.03688555567816588,-8.6,0.5811865258054231,0.0025000572204589497
15,DefaultEng_Qlearntab_classroom_A_language__training_results,10,15,-0.5733333333333334,0.0387457683870282,-9.2,0.6798692684790381,0.00605165958404535
16,DefaultEng_Qlearntab_classroom_A_language__training_results,10,16,-0.575,0.04249182927993988,-9.8,0.679869268479038,0.00554955005645745
17,DefaultEng_Qlearntab_classroom_A_language__training_results,10,17,-0.5764705882352941,0.03999230991053164,-10.2,0.7571877794400363,0.0050246715545654
18,DefaultEng_Qlearntab_classroom_A_language__training_results,10,18,-0.5666666666666667,0.0420659877466687,-10.8,0.7571877794400363,0.004520177841186451
19,DefaultEng_Qlearntab_classroom_A_language__training_results,10,19,-0.5684210526315789,0.03985198839158087,-11.6,0.7774602526460399,0.0030001401901245
20,DefaultEng_Qlearntab_classroom_A_language__training_results,10,20,-0.5800000000000001,0.038873012632302,-11.8,0.7423685817106694,0.00304162502288815
21,DefaultEng_Qlearntab_classroom_A_language__training_results,10,21,-0.5619047619047619,0.03535088484336522,-12.0,0.7302967433402214,0.0040020942687988
22,DefaultEng_Qlearntab_classroom_A_language__training_results,10,22,-0.5454545454545453,0.03319530651546461,-12.8,0.8666666666666666,0.0020738840103148998
23,DefaultEng_Qlearntab_classroom_A_language__training_results,10,23,-0.5565217391304348,0.03768115942028985,-13.2,0.8537498983243798,0.00608587265014645
24,DefaultEng_Qlearntab_classroom_A_language__training_results,10,24,-0.55,0.03557291243018249,-13.6,0.8969082698049139,0.0065021514892577995
25,DefaultEng_Qlearntab_classroom_A_language__training_results,10,25,-0.544,0.03587633079219656,-14.6,0.8969082698049139,0.0015846490859985
26,DefaultEng_Qlearntab_classroom_A_language__training_results,10,26,-0.5615384615384615,0.03449647191557362,-15.6,0.8969082698049139,0.00200188159942625
27,DefaultEng_Qlearntab_classroom_A_language__training_results,10,27,-0.5777777777777777,0.03321882480758941,-15.7,0.9893881386437219,0.00554060935974115
28,DefaultEng_Qlearntab_classroom_A_language__training_results,10,28,-0.5607142857142857,0.03533529066584721,-16.3,0.9195409482755814,0.0040332078933715
29,DefaultEng_Qlearntab_classroom_A_language__training_results,10,29,-0.5620689655172414,0.03170830856122694,-17.1,0.971253485622231,0.0035339593887328997
30,DefaultEng_Qlearntab_classroom_A_language__training_results,10,30,-0.57,0.0323751161874077,-17.3,1.054619467970425,0.0035524368286132
31,DefaultEng_Qlearntab_classroom_A_language__training_results,10,31,-0.5580645161290322,0.03401998283775564,-17.7,1.1930353445448854,0.00509488582611075
32,DefaultEng_Qlearntab_classroom_A_language__training_results,10,32,-0.553125,0.03728235451702767,-17.7,1.2297244497131143,0.0085237026214599
33,DefaultEng_Qlearntab_classroom_A_language__training_results,10,33,-0.5363636363636364,0.037264377264033775,-18.1,1.3370780746754385,0.00499951839447015
34,DefaultEng_Qlearntab_classroom_A_language__training_results,10,34,-0.5323529411764706,0.03932582572574819,-18.7,1.3988090172238192,0.00654828548431395
35,DefaultEng_Qlearntab_classroom_A_language__training_results,10,35,-0.5342857142857141,0.03996597192068055,-19.3,1.4761059883656351,0.0039998292922973
36,DefaultEng_Qlearntab_classroom_A_language__training_results,10,36,-0.5361111111111111,0.04100294412126765,-20.1,1.4487542541400487,0.0020365715026855
37,DefaultEng_Qlearntab_classroom_A_language__training_results,10,37,-0.5432432432432432,0.039155520382163474,-21.1,1.4487542541400487,0.0020531415939331003
38,DefaultEng_Qlearntab_classroom_A_language__training_results,10,38,-0.5552631578947368,0.03812511195105391,-21.7,1.505914266410202,0.00299775600433345
39,DefaultEng_Qlearntab_classroom_A_language__training_results,10,39,-0.5564102564102564,0.03861318631821031,-22.7,1.505914266410202,0.00350034236907955
40,DefaultEng_Qlearntab_classroom_A_language__training_results,10,40,-0.5674999999999999,0.03764785666025505,-23.3,1.5351438586225938,0.00250029563903805
41,DefaultEng_Qlearntab_classroom_A_language__training_results,10,41,-0.5682926829268291,0.037442533137136434,-23.3,1.5351438586225938,0.00607275962829585
42,DefaultEng_Qlearntab_classroom_A_language__training_results,10,42,-0.5547619047619048,0.0365510442529189,-23.7,1.5059142664102023,0.008583903312683099
