Instruction/Experiment/Agent,Num Repeats,Number Episodes,Mean,Median,Std Error,Std Dev,Variance,Cumulative Mean,Cumulative Median,Cumulative Std Error,Cumulative Std Dev,Cumulative Variance,Time Avg
instr/Instr_Experiment_training/DQN_classroom_A_language,10,10000,0.11801584897221701,0.12,0.0007319131593366305,0.07318765627637265,0.005356433031228469,608.18651,626.3,3.683395087692765,368.3395087692765,135673.99372039194,0.03199534285068505
instr/Instr_Experiment_training/DQN_default,10,10000,0.17702955952284574,0.13,0.0014933987068646143,0.14933240350624294,0.02230016673695136,1108.81396,1186.1999999999998,4.725328289913473,472.5328289913473,223287.27447456584,0.017786975049972453
instr/Instr_Experiment_training/DQN_LLM,10,10000,0.16094920619364556,0.124,0.001314356187275591,0.13142904678231998,0.017273594338109256,1005.3987800000001,1064.1,4.330737863770518,433.0737863770518,187552.9044469563,0.02206356725692741
instr/Instr_Experiment_training/Qlearntab_classroom_A_language,10,10000,-0.21316566033261128,-0.2309999999999999,0.0007651313869622992,0.0765093129436489,0.005853674967109201,-985.34097,-952.0,6.376926780476805,637.6926780476805,406651.95163562265,0.007188124835491104
instr/Instr_Experiment_training/Qlearntab_default,10,10000,-0.16107879753307847,-0.179,0.0010187288458916807,0.10186779081759113,0.010377046806056505,-734.90984,-704.6500000000001,4.837793877345066,483.7793877345066,234042.4959967741,0.004499318146705553
instr/Instr_Experiment_training/Qlearntab_LLM,10,10000,-0.34149646281497487,-0.366,0.0007450936560475961,0.07450564004333801,0.005551090398267452,-1578.87625,-1538.65,10.289171406810055,1028.9171406810055,1058670.4823871762,0.006303809297084733
no_instr/Standard_Experiment_training/DefaultEng_DQN_classroom_A_language,10,10000,0.08954984874989844,0.104,0.000994763137172657,0.09947133977722823,0.009894547437076786,377.21303,366.9,3.0943852471092965,309.43852471092964,95752.20057527663,0.017949186468124313
no_instr/Standard_Experiment_training/DefaultEng_DQN_default,10,10000,0.09263586223877202,0.1,0.0007714878017515751,0.07714492263970796,0.005951339089086526,448.0054199999999,449.6,2.9559077099769793,295.5907709976979,87373.9038990135,0.014893148148059768
no_instr/Standard_Experiment_training/DefaultEng_DQN_LLM,10,10000,0.08634730473986922,0.094,0.0008496453291448989,0.0849602845816332,0.0072182499561921,400.27052,391.0,2.867665443457887,286.7665443457887,82235.0509560252,0.015863527548313064
no_instr/Standard_Experiment_training/DefaultEng_Qlearntab_classroom_A_language,10,10000,-0.30197974072962835,-0.292,0.0005650565263639197,0.05650282728312455,0.0031925694909866044,-1589.3202299999998,-1616.9,8.428378695865463,842.8378695865463,710375.674409188,0.005100444006919784
no_instr/Standard_Experiment_training/DefaultEng_Qlearntab_default,10,10000,-0.2172736054986414,-0.206,0.000621441844625641,0.06214107717565687,0.0038615134725509424,-1144.32704,-1142.0,5.989374629218709,598.9374629218709,358726.0844912875,0.004069171750545427
no_instr/Standard_Experiment_training/DefaultEng_Qlearntab_LLM,10,10000,-0.2800992833016273,-0.267,0.0006764004520559947,0.06763666311878491,0.004574718197844,-1476.19173,-1505.6,7.697105620995127,769.7105620995127,592454.3494075479,0.005600998735427781
